UFR,Floating UU,Floating UD,Floating DD
"U2 R' D R D' R' D R U2 R' D' R D R' D' R!U2, R' D R D' R' D R","U R D R' D' R D R' U' R D' R' D R D' R'!U, R D R' D' R D R'","U' D R' D' R U' R' D R D' R' D R U R' D' R U!U' R' D R: R' D' R D R' D' R, U'","R U' R' U R U' R' D R U R' U' R U R' D'!R U' R' U R U' R', D"
"R' D R D' R' D R U2 R' D' R D R' D' R U2!R' D R D' R' D R, U2","U2 R' D R D' R' D R U R' D' R D R' D' R U!U2: R' D R D' R' D R, U","R' U R D R' U' R U R' U' R D' R' U R U'!R' U R: D, R' U' R U R' U' R",D' R U' R' U R U' R' D2 R U R' U' R U R' D'!D'/R U' R' U R U' R'
"U R' D R D' R' D R U' R' D' R D R' D' R!U, R' D R D' R' D R","R D R' D' R D R' U R D' R' D R D' R' U'!R D R' D' R D R', U","U R D R' U' R U R' U' R D' R' U R U' R'!U R: D, R' U' R U R' U' R","D2 R U' R' U R U' R' D' R U R' U' R U R' D'!D2: R U' R' U R U' R', D'"
"R' D R D' R' D R U R' D' R D R' D' R U'!R' D R D' R' D R, U","U' R' D R D' R' D R D' U' D R' D' R D R' D' R U2!U': R' D R D' R' D R D', U'","U R D' R' U' R U R' U' R D R' U R U' R'!U R: D', R' U' R U R' U' R","D R U' R' U R U' R' D' R U R' U' R U R'!D, R U' R' U R U' R'"
"U' R' D R D' R' D R U R' D' R D R' D' R!U', R' D R D' R' D R",U R' D R D' R' D R U2 R' D' R D R' D' R U!U/R' D R D' R' D R,"U' R' D R U' R' D' R D R' D' R U R' D R D' U!U' R' D R: U', R' D' R D R' D' R",D R U' R' U R U' R' D2 R U R' U' R U R' D!D/R U' R' U R U' R'
"R' D R D' R' D R U' R' D' R D R' D' R U!R' D R D' R' D R, U'",U' R' D R D' R' D R U2 R' D' R D R' D' R U'!U'/R' D R D' R' D R,"U R' U' R D R' U R U' R' U R D' R' U' R!R' U R: R' U' R U R' U' R, D","D R U' R' U R U' R' D R U R' U' R U R' D2!D: R U' R' U R U' R', D"
"R' D R U R' U' R U R' D' R U' R' U R U'!R': D, R U R' U' R U R'",,"R U R' U' R D R' U R U' R' U R D' R' U'!U R: R' U' R U R' U' R, D","D' R U' R' U R U' R' D R U R' U' R U R'!D', R U' R' U R U' R'"
"U R' U' R U R' D R U' R' U R U' R' D' R!R': R U R' U' R U R', D",,"R U R' U' R D' R' U R U' R' U R D R' U'!U R: R' U' R U R' U' R, D'","D2 R U' R' U R U' R' D2 R U R' U' R U R'!D2, R U' R' U R U' R'"
"R' D' R U R' U' R U R' D R U' R' U R U'!R': D', R U R' U' R U R'",,"U R' D R U' R' U R U' R' D' R U R' U' R!U R': D, R U' R' U R U' R'","R U' R' U R U' R' D' R U R' U' R U R' D!R U' R' U R U' R', D'"
"U R' U' R U R' D' R U' R' U R U' R' D R!R': R U R' U' R U R', D'",,"U R' D' R U' R' U R U' R' D R U R' U' R!U R': D', R U' R' U R U' R'","R U' R' U R U' R' D2 R U R' U' R U R' D2!R U' R' U R U' R', D2"
"U' R D R' U R U' R' U R D' R' U' R U R'!U' R: D, R' U R U' R' U R",,"U R U' R' U R D R' U' R U R' U' R D' R'!R: R' U R U' R' U R, D","D' R' U' R U R' U' R D R' U R U' R' U R!D', R' U' R U R' U' R"
"R U' R' U R D R' U' R U R' U' R D' R' U!U' R: R' U R U' R' U R, D",,"U R U' R' U R D' R' U' R U R' U' R D R'!R: R' U R U' R' U R, D'","D' R' U' R U R' U' R D R' U R U' R' U R!R' U' R U R' U' R, D'"
"U' R D' R' U R U' R' U R D R' U' R U R'!U' R: D', R' U R U' R' U R",,"R' U R U' R' D R U R' U' R U R' D' R U'!U R': R U' R' U R U' R', D",
"R U' R' U R D' R' U' R U R' U' R D R' U!U' R: R' U R U' R' U R, D'",,"R' U R U' R' D' R U R' U' R U R' D R U'!U R': R U' R' U R U' R', D'",
,,"R D R' U R U' R' U R D' R' U' R U R' U'!R: D, R' U R U' R' U R",
,,"R D' R' U R U' R' U R D R' U' R U R' U'!R: D', R' U R U' R' U R",
,,"R' U' R U R' D R U' R' U R U' R' D' R U!U' R': R U R' U' R U R', D",
,,"R' U' R U R' D' R U' R' U R U' R' D R U!U' R': R U R' U' R U R', D'",
,,"U' R U R' D' R U' R' U R U' R' D R U R'!R U' R': R U R' U' R U R', D'",
,,"D R' U' R U R' D R U' R' U R U' R' D' R U D'!U'D R': R U R' U' R U R', D",
,,"U' R' D R U R' U' R U R' D' R U' R' U R!U' R': D, R U R' U' R U R'",
,,"U' R' D' R U R' U' R U R' D R U' R' U R!U' R': D', R U R' U' R U R'",
,,"R U' R' D' R U R' U' R U R' D R U' R' U!R U' R': D', R U R' U' R U R'",
,,"D U' R' D R U R' U' R U R' D' R U' R' U R D'!U'D R': D, R U R' U' R U R'",
