UU,UD,DD
R U R2' U' R2 U2 R' S R2 S' R' U' R U',"D: R' D' R, U2 + U' R': U', R' D R","R D: U, R' D' R + U: D, R U' R'"
U2': R U R2' U' R2 U2 R' S R2 S' R' U' R U',"R' D' R, U2 + U'D' R': U', R' D R","U: D'/R U' R' + D R: R D' R', U'"
U: R' U' R2 U R2' U2' R S R2' S' R U R' U ,"U/R D R' + D R: R D' R', U","D R D: U, R' D' R + UD: D, R U' R'"
U': R' U' R2 U R2' U2' R S R2' S' R U R' U ,"D': U/R D R' + R: R D' R', U","U: R U' R', D + R D: R' D' R, U"
U': R U R2' U' R2 U2 R' S R2 S' R' U' R U',"U' R': R' D R, U' + D: U2, R' D' R","D R: U', R D' R' + U: D/R U' R'"
R' U' R2 U R2' U2' R S R2' S' R U R' U ,"U'D' R': R' D R, U' + U2, R' D' R","UD: R U' R', D + D R D: R' D' R, U"
,"D R: U, R D' R' + U'/R D R'","R U R', D' + U R D': R' D R, U'"
,"R: U, R D' R' + D': U'/R D R'","U: D2, R U' R' + R: R D' R', U'"
,"R' U: D, R U' R' + D: U, R' D' R","U R D': U', R' D R + D', R U R'"
,"D' R' U: D, R U' R' + U, R' D' R","R: U', R D' R' + U: R U' R', D2"
,"R D R', U' + D R U': R' U R, D'","R D' R': U, R' D R + R U': D'/R' U R"
,"D': R D R', U' + R U': R' U R, D'","R U': D/R' U R + R D' R': R' D R, U"
,"D: R' D' R, U + R' U: R U' R', D",
,"R' D' R, U + D' R' U: R U' R', D",
,"D R U': D', R' U R + U', R D R'",
,"R U': D', R' U R + D': U', R D R'",
,"U' R' U: D, R U' R' + D: R' D' R, U'",
,"U'D' R' U: D, R U' R' + R' D' R, U'",
,"U': R D R', U' + U'D R U': R' U R, D'",
,"U'D': R D R', U' + U' R U': R' U R, D'",
,"D: U', R' D' R + U' R' U: R U' R', D",
,"U', R' D' R + U'D' R' U: R U' R', D",
,"U'D R U': D', R' U R + U': U', R D R'",
,"U' R U': D', R' U R + U'D': U', R D R'",
