,,UBL,UBR,UFL,LUB,LUF,LDF,LDB,FUL,FDR,FDL,RUB,RDB,RDF,BUR,BUL,BDL,BDR,DFL,DFR,DBR,DBL
,[BUL],,U R U R2' D' R U R' D R2 U2' R',R' D' R U R' D R2 U' R' U R U R' U' R U R' U,,U' R' U2 R U R2' D' R U R' D R2 U2',D' L U L' D L2 U2 L' U L U L2',DU2 R' D R2 U R' U2 R U R2' D' R U'D',U R U R' U R2 D R' U' R D' R' U' R',U R2' U R U R' U2' R2 D R' U R U'D',U2 R' D R2 U R' U2 R U R2' D' R U',U S' R' U' R f R' F' U R U R U' R',D'U R2' U R U R' U2' R2 D R' U R U',D'U2 R' D R2 U R' U2 R U R2' D' R U'D,U R' D' R U R' D R2 U R' U2' R U R' U',,D2U R2' U R U R' U2' R2 D R' U R U'D,L' D L2 U L' U2' L U L2' D' L U,D L D' L2' U L U2' L' U L2 D L' UD',L D' L2' U L U2' L' U L2 D L' U,U R2' D' R U' R' D R U2 R U R' U2 R,U2 R D' R2' U R U2 R' U R2 D R' U'
,[LUB],,R U R' U' R' U' F R f' R' U R S U',U2 R' U' R2 D R' U' R D' R2' U2' R U,,R U R D R' U R D' R2' U' R U' R' U',D'U R D' R2' U' R U2 R' U' R2 D R' U2D,D L2 U' L' U' L U2 L2' D' L U' L',U' R U' R' U R U' R' U' R U R2' D' R U' R' D R,U' L D' L2' U' L U2 L' U' L2 D L',L2 U' L' U' L U2 L2' D' L U' L' D,U R U' R' U2 R U' R2' D' R U' R' D R U',R' U2 R U' R' U2 R' D' R U R' D R2 U',DU R' U' R D' R2' U2' R U' R' U' R2' U',R U2 R' U' R2 D R' U' R D' R2' U',,U R D' R2' U' R U2 R' U' R2 D R' U2,U R' U' R D' R2' U2' R U' R' U' R2 U'D,U R' D R2 U' R' U2 R U' R2' D' R U2,D'U R' D R2 U' R' U2 R U' R2' D' R U2D,U' L' D L2 U' L' U2' L U' L2' D' L,DU R' D R2 U' R' U2 R U' R2' D' R U2D'
,[RUB],R2 U R' D' R U R' D R' U' R2 U' R2' U',,R2' U' R U R U' R UD' R U' R' UD,U R' D' R U' R' D R U2 R U R' U2' R U R' U',U' R' U2 R U R2' F' R U R U' R' F R U',L' U' L2 D l' U2 l D' L' U2',DU R U R' D R2 U R' U2 R U R2' U'D2,U' f R' F' R U2 R U2' R' U2 S',DU2 R' U' R2 D r' U2 r D' R' D',U R U R' D R2 U R' U2 R U R2' U'D',,U2 R' U' R2 D r' U2 r D' R',D'U R U R' D R2 U R' U2 R U R2 U',,U R' U R U R' U' R' D' R U' R' D R2,D'U2 R' U' R2 D r' U2 r D' R' D,D2U R U R' D R2 U R' U2 R U R2' U'D,l F' L' F M' U L' U2 L U2',DU R' U R U R' U2' R2 D R' U R D' R' U'D',U R' U R U R' U2' R2 D R' U R D' R' U',D'U R' U R U R' U2' R2 D R' U R D' R' U'D
,[BUR],R' U2' R U2 R' F' R U R' U' R' F R2 U',,U R' F' R U R' U' R' F R2 U' R' U2 R U,R U R' U' R U R2' D' R U' R' D R U2 R U' R' U2,S U2 R U2' R' U2 R' F R f' U,U2 L' U2 L U' M F' L F l',D' R D r' U2 r D' R2' U R U2D,U'D' R U R' U'D R3 U R' U' R' U R2,DU R D R' U' R D' R2' U2' R U' R' U' R U'D',U2' L D l' U2' l D' L2' U L,,U R D R' U' R D' R2' U2' R U' R' U' R U',D R D r' U2 r D' R2' U R U2D',,U R U' R' U2 R U' R' U2 R' D' R U R' D R U',D'U R D R' U' R D' R2' U2' R U' R' U' R U'D,R D r' U2 r D' R2' U R U2',DU R2 U' R' U2 R U' R2' D' R U' R' U',U R2 U' R' U2 R U' R2' D' R U' R' U'D,D'U R2 U' R' U2 R U' R2' D' R U' R' U'D2,D2U R2 U' R' U2 R U' R2' D' R U' R' U'D'
,[LUF],R' D' R U' R' D R2 U2 R' U R U R' U2,U R' U2 R' D' r U2 r' D R2 U2',,L' U2 R U' L U R' U L' U L U,,DU' R' D' r U2 r' D R2 U' R' U'D'  ,L' D' L U L' D L2 U2 L' U L U L',,U' R' D' r U2 r' D R2 U' R' U',DU' R U2' R' U M F R' F' r U'D',R' U' R UD' R U' R U R U' R2' UD,D'U' R' D' r U2 r' D R2 U' R' U'D,U' R U2' R' U M F R' F' r U',U S' U2' L' U2 L U2' L F' L' f U2',U' R' U' R U R' U' R2 D R' U R D' R' U2 R' U R U',U L' D' l U2' l' D L2 U' L' U,D'U' R U2' R' U M F R' F' r U'D,L2' U L U2' L' U L2 D L' U L D',DU R U2 R' D' r U2 r' D R2 U' R2' U'D',U R U2 R' D' r U2 r' D R2 U' R2' U' ,D'U R U2 R' D' r U2 r' D R2 U' R2' U'D
,[FUL],U R' U' R U2 R D R' U' R D' R2' U R U' R' U R U,U' R2 U R' U' R' U R3 U'D R' U R D',,U2 R U' R' U' R U2' R2' D' R U R' D R,,D L' U' L D' L2' U' L U2 L' U' L2,U' L U L2' D' l U2' l' D L U',,DU R2 U R2' D' r U2 r' D R U2 R' U'D',DU R U R2' D' r U2 r' D R UD',U2 f' L F L' U2' L' U2 L U2' S U',U R2 U R2' D' r U2 r' D R U2 R' U'  ,U R U R2' D' r U2 r' D R U,U2' R2' D' r U2 r' D R U2 R U',U' L' U' L U' R U' L' U R' U2 L,D'U R2 U R2' D' r U2 r' D R U2 R' U'D,D'U R U R2' D' r U2 r' D R UD,DU r' F R F' M' U' R U2' R' UD',U r' F R F' M' U' R U2' R' U,D'U r' F R F' M' U' R U2' R' UD,L U' L' U' L U2 L2' D' L U' L' D L
,[FDL],DU' R U2' R' U R U R2' D' R U R' D R UD',D' R D' R' U2 R' U' R2 D r' U2 M' D,DU R U R2' D' r U2 M U R' D R D',R' D R U2 R U R' U2 R U R2' D' R U',D'U r' U2 r D' R' U2 R' U' R2 U'D2,,R D2 R' U2 R' U' R2 D r' U2 r D R',D2U2 R' U R2 D R' U' R D' R' U' R' U R U'D2,L' U' R' D' r U2 r' D R2 U' R' U' L,,U L D L' U M' U2 l D' L2' U L,L' U'D' R' D' r U2 r' D R2 U' R' U'D L,DU R U R' D' R D R U R' U2 R U R' D' R' U',DU2 R U R' U' R' D' R U' R' D R2 U R' U'D',D2U R2' D' R U R' D R2 U R' U2 R D2,D' r' U2 r U' R' U R D' R' U2 R' U' R2 D2,D2U R' U R' D R2 U R' U2 R U R2' D' R2 U'D2,,D2U R' U R D' R2' U R U2 R' U R2 U'D',DU' R' D2 r U2 r' D R2 U' R' U2 R' D R UD',U' L2' U' L2 U L' D' L U L' D L' U' L2
,[LDF],D2 R' U2 R U' R2' D' R U' R' D R2 U'D2,L' U' L2 D l' U2 M U' L D' L' U',D2U R2' U R U2 R D r' U2 r U'D,DU' R' D' R U' R' D R2 U' R' U' R U2' R' UD',D2U R' U' R U R D R' U R D' R2' U' R U2D2,,D2 R2' U R U2 R D R' U' R U r' U2 r D,D R' D' R U' M' U2 r' D R2 U' R' U'D',DU R2' U' R U2 R' U' R2 D R' U' R U'D2,,DU R U' R2' D' R U R' D R U R U' R' U2D',DU' R' D' R U2 R U R2' D' r U2 r' D2 R UD',L' U R U R2' D' r U2 r' D R U L,D2 R B2 R' D r B2 r D r2' D,U R' D R2 U' R' U2 R U' R' U2 R' D' R,D2U2 R2' U R D' R U' R' D R U' R2 U R2 U'D2,L' UD' R U R2' D' r U2 r' D R UD L,,U R D R U' R' U2 R U' R' D' R' D R U' R' U'D',D2U R2' D R2 U' R' U2 R U' R2' D' R U' R U'D2,R D' r' U2 r D' R2' U R U2 R D2 R'
,[LDB],U L U2' L' U L2 D L' U L D' L2',R D' R' U2 R' U' R2 D r' U2 M',D2U R U R2' D' r U2 M U R' D R D2',D'U R D R' U R D' R2' U R U2 R' U R U'D,U r' U2 r D' R' U2 R' U' R2 U'D,D L' U' R' D' r U2 r' D R2 U' R' U' L D',,D'U2 R' U R2 D R' U' R D' R' U' R' U R U'D,L2' U' R' D' r U2 r' D R2 U' R' U' L2',D2U R U R' D' R D R U R' U2 R U R' D' R' U'D',D'U' R D R' U M U2 r D' R2' U R U2D,r' U2 r U' R' U R D' R' U2 R' U' R2 D,D'U R' U R' D R2 U R' U2 R U R2' D' R2 U'D,D2U2 R U R' U' R' D' R U' R' D R2 U R' U'D2,D' R D R' U R D' R2 U R U R' U2' R D ,,D L2 U L' U2' L U L2' D' L U L',D'U R' U R D' R2' U R U2 R' U R2 U'D2,L2 D' L2' U L U2' L' U L2 D L' U L',DU' L2' U' L2 U L' D' L U L' D L' U' L2 D',
,[BDL],D' R' U2 R U' R2' D' R U' R' D R2 U'D,D'U2 R' U' R2 D r' U2 M' U' R D' R' UD,D'U R2' U R U2 R D r' U2 r U',L2 D L' U' L D' L2' U' L U2 L' U',UD' R' U' R U R D R' U R D' R2' U' R U2D,D2U R2' U' R U2 R' U' R2 D R' U' R U'D,,D2 R' D' R U' M' U2 r' D R2 U' R' U'D2,L U' L D' L2' U' L U2 L' U' L2 D L2',D L' U R U R2' D' r U2 r' D R U L D',D2U R U' R2' D' R U R' D R U R U' R' U2D2,D'U2' R2' U R D' R U' R' D R U' R2' U R2 U'D,L2' U R U R2' D' r U2 r' D R U L2',D' R B2 R' D r B2 r D r2',D'U R' U' R U2 R' U' R2 D R' U' R D' R' U'D,,D' R2' U R U2 R D R' U' R U r' U2 r,DU R D R U' R' U2 R U' R' D' R' D R U' R' U'D2,D'U R2' D R2 U' R' U2 R U' R2' D' R U' R U'D,L U' L' D L2 U' L' U2' L U' L2' D',
