UB,UR,UL,LU,LF,LD,LB,FR,FD,FL,RU,RB,RD,RF,BU,BL,BD,BR,DF,DR,DB,DL
,"R2 U': R2, S","L2 U: L2, S'",U' M: U/M',U/R' E R,U'/L E L',U/R E' R',"R' U': R2, S","R' F': E, R U R'","L U: L2, S'",U M: U'/M',U'/L' E L,U/R' E' R,U'/L E' L',,"L' U: L2, S'",U M': U'/M',"R U': R2, S","M', U2","U': R2, S","U2, M","U: L2, S'"
"R2 U': S, R2",,M2: U'/M,"L F' L', S'","R' E R, U'","U2: L E L', U'","R E' R', U'","E': R' E R, U'","R U' R' U, M'","R E2 R', U'",,"U2: L' E L, U'","R' E' R, U'","U2: L E' L', U'","R' U' R U, M","R' E2 R, U'",M U' M' U' M U' M' U',"E: R E' R', U'",L: F'/L' S' L,R' U: R/S,R U R': U/M,L U L' U' L' U' L' U L U
"L2 U: S', L2",M2: U/M,,,"U2: R' E R, U","L E L', U","U2: R E' R', U","L' E2 L, U","L' U L U', M'","E: L E' L', U","R' F R, S","L' E L, U","U2: R' E' R, U","L E' L', U","L U L' U', M","E': L' E L, U",M U M' U M U M' U,"L E2 L', U",R': F/R S R',R' U' R U R U R U' R' U',U l: U/R' E R,L U': L'/S'
"R' U': S, R2","E': U', R' E R","U, L' E2 L",S' U: L'/E',"E, R U' R'","U: L F2 L', S","R: R E' R', U'",,"U' R U, M'",R' U': R'/E,R' U' E': R'/E,"E', R U' R'",R' u': R/E',,"U' R U, M",R' U': R/E',"U': R, U' M U",U: R/S,U D': L'/E',U2 R U' R' U' R' U' R U R U',U D: L'/E',U: L'/E'
"R' F': R U R', E","M', R U' R' U","M', L' U L U'","U' D: S', R' F R","M2: U' L' U, M","U: L F L', S","U' M': U', R E' R'","M', U' R U",,"M', U L' U'","R' F': R U' R', E","M2: U R' U', M","U': R' F' R, S'","M': M', U R U'","U': R' F' R, S","M', U L U'",U M U M' U2 M' U' M U,"M', U' R' U",,U R' F': R/S,"D': S, L' F' L",U' L F: L'/S'
"L U: S', L2","U', R E2 R'","E: U, L E' L'","r U: r' E r, U",,S' U': R/E,"E, L' U L",R' U': R/E,"U L' U', M'",,S U': R/E,"L': L' E L, U","U': R' F2 R, S'","E', L' U L","U L' U', M",U': L'/S',"U: L', U M U'",R U': R/E,U' D: R/E,U': R/E,U' D': R/E,U2 L' U L U L U L' U' L' U
U M: U/M',,"S, R' F R",M: U/M',"U' r': R U' R', E",L F': L/S',l: U/M',R' U' E': R/E,"R' F': E, R U' R'",S U': R'/E,,"S': L' E L, U",R E' R' U': R'/E,"S': L E' L', U","M', R U R' U'",S U': R/E',"U D: S, L F' L'",R u': R'/E',"D: S', R' F R","S', R' F R","D': S', R' F R","l': R' E R, U"
U/L' E L,"U: L' E L, U","U, L' E L",r': U/M',r U: R'/E,"L F': E, L2",u: R/S,"R U' R', E'","M': U R' U', M'","L': U, L' E L","S': U, L' E L",,"U' S U, R",M' U': R'/S,"M', U R' U'","L U L', E","U M: l' E l, U'",,"F': R2, E",u': R'/E',M'/U R' U',u: L'/E'
U'/R' E' R,"U', R' E' R","U': R' E' R, U'",R' F: R/S,M' U: R'/E,R' F: R'/S',"R' F: R2, E'",R' u': R'/E',"U': S', R' F' R","U': S', R' F2 R",R E' R' U': R/E,"R, U' S U",,"R', U' S U","U' D': R' F' R, S","R' E2: R U' R', E","U': S', l U l'","D': M', U' R' U","R' F':  R2, E",,"U': R' B R, S","S', R F R'"
U/L E' L',"U: L E' L', U","U, L E' L'",R M: U/M',U E: R'/S,M' U': L'/E',"R2 F: R2, E'",,"M': U R U', M'","L' U L, E'","S': U, L E' L'",M' U': R/S,"U' S U, R'",,"M', U R U'","L: U, L E' L'","U l: E', L' U' L","R' U' R, E","R2 F': R2, E",U' E': R/E,M'/U R U',U E: L/E
,"M, R' U' R U","M, L U L' U'","L' U' L U, M'","U' L' U, M'","U' D: S, R' F' R","U' L U, M'","M, U' R U","U': S, R' F' R","M, U L' U'","R U R' U', M'","U R' U', M'","U' D': S, R' F' R","U R U', M'",,"M, U L U'","U': S, l U l'","M, U' R' U","U: R' F' R, S","U D': R' F' R, S","U: l U l', S","U D: R' F' R, S"
"L' U: S', L2","U', R' E2 R","E': U, L' E L",U' l: U/M',"E', L U L'",S' U': R'/E',,R' U': R'/E',"U L U', M'",U': L/S',S U': R'/E',"E, L U L'","R' E': R U' R', E'","L: L E' L', U","U L U', M",,"U: L, U M U'",R U': R'/E',U' D: R'/E',U': R'/E',U' D': R'/E',L U' L' U' L' U' L U L U
U M': U/M',U M U M' U M U M',U' M U' M' U' M U' M',D' R' F: R/S,"U' M: U, R' E R","U: L' B' L, S","U' M: U, R E' R'","U2: M, U R U'",U M' U' M U2 M U M' U,"U2: M, U' L' U","U D: S, L F' L'","U M: U', l' E l","U': l U l', S'","U M: U', L E' L'","U': R B R', S","U2: M, U' L U",,"U2: M, U R' U'","D: S, L' F' L","D' R' F': R2, E",,"D L F: L2, E'"
"R U': S, R2","E: U', R E' R'","U, L E2 L'","M': U', L' E L","R': R' E R, U'","L E: L' U L, E","E', R' U' R",U: R'/S,"U' R' U, M'",R U': R'/E,R u': R/E',,"D': U' R' U, M'","E, R' U' R","U' R' U, M",R U': R/E',"U': R', U' M U",,U R': U'/M',R' U R U R U R' U' R' U',"U' R' U, M2",U: L/E
