4M,5M,1+4M,1+5M,2+4M,2+5M,3+4M,3+5M,4+5M,P8,A9,1+P8,1+A9,2+P8,2+A9,4-10M,5-12M,NC (8+)
"M, U2",M' U2 M' U2 M2,"U: S', L2",M2: U'/M,"L2 U: S', L2",U' M: U'/M',"D L F: E', L2",R U R': U'/M,R E' R' U': R/E,"U, L E L'",U'/R E' R',"E: U, L E' L'",R': F/R S R',"R' F': R U R', E",U l: U'/R' E R,"L' U' L U, M","U, L' E L2 E' L'",U' M U' M' U' M U' M'
"U2, M",M2 U2 M' U2 M',"U: L2, S'",M2: U/M,"L2 U: L2, S'",U' M: U/M',"D L F: L2, E'",R U R': U/M,R E' R' U': R'/E,"L E L', U",U/R E' R',"E: L E' L', U",L: F'/L' S' L,"R' F': E, R U R'",U l: U/R' E R,"R U R' U', M","U', R E' R2 E R",M U M' U M U M' U
"U2, M'",U/M,"U': S, R2",M: U/M',"R2 U': S, R2",U M: U/M',"D' R' F': E, R2",D' R' F: R/S,L F' L' U: L/E,"U', R' E' R",U/L' E L,"E': U', R' E R","r U: r' E r, U","U' D: S', R' F R","U R' F2: R S R', F","L' U' L U, M2","R E' R2 E R, U",U M U M' U M U M'
"M', U2",U'/M,"U': R2, S",M: U'/M',"R2 U': R2, S",U M: U'/M',"D' R' F': R2, E",R' U' E': R/E,L F' L' U: L'/E,"R' E' R, U'",U'/L' E L,"E': R' E R, U'","r U: U, r' E r","U' D: R' F R, S'","U R' F': R S R', F'","R U R' U', M2",,M U' M' U' M U' M' U'
u2 M' u2 M',U'/M',"F: E', L2",r': U/M',"L U: S', L2",U M': U/M',"U L F': E, L2",R' U' E': R'/E,R' F R U': R'/E',"U, L' E2 L",U'/R' E R,"S: U', R E' R'","U' M': U', R E' R'","R' F': R U' R', E","U' l U: U, R' E R","M2, R U R' U'",,U R U R' U' R' U' R' U R
M' u2 M' u2,U/M',"F: L2, E'",r': U'/M',"L U: L2, S'",U M': U'/M',"U L F': L2, E",U' L F: L/S',R' F R U': R/E',"L' E2 L, U",U/R' E R,"S: R E' R', U'","U' M': R E' R', U'","R' F': E, R U' R'","U' l U: R' E R, U",M'/L' U L U',,R' U' R U R U R U' R' U'
"L2, S'",L/S',"F': E, R2",l: U'/M',"R' U': S, R2",L U': L'/S',"U' R' F: E', R2",U' L F: L'/S',L F' L' U: L'/E',"U', R E2 R'",U/L E' L',"S': U, L' E L","U' r': R U' R', E","U' D': R' F R, S'","U r' U2: L E' L', U",M/L' U L U',,L U L' U' L' U' L' U L U
"S', L2",L'/S',"F': R2, E",l: U/M',"R' U': R2, S",R' U: R/S,"U' R' F: R2, E'",U R' F': R'/S,L F' L' U: L/E',"R E2 R', U'",U'/L E' L',"S': L' E L, U","U' M: R' E R, U'","U D: L F' L', S","U r' U': L E' L', U'",M'/R U' R' U,,U' L U L U' L' U' L' U' L U2
"S, R2",R'/S,"U': R2, S'",u: R/S,"L' U: S', L2",l F: L'/S',"U L F: E', L2",U R' F': R/S,R' F R U: R'/E,"S, R' F R",U/L E L',"S: U', R' E R","U' M: U, R' E R","U' M: U, R E' R'","U R u': R' U R, E'",M/R U' R' U,,U2 L' U L U L U L' U' L' U
"R2, S",R/S,"U: L2, S",u: R'/S,"L' U: L2, S'",l' U: L'/S',"U L F: L2, E'",U' R D: R/S',R' F R U': R'/E,"R' F R, S",U'/L E L',"S: R' E R, U'","U' r': E, R U R'","U' M: R E' R', U","U R U': R' U R, E",,,U R' U' R' U R U R U R' U2
