UBL,UBR,UFL,LUB,LUF,LDF,LDB,FUL,FDR,FDL,RUB,RDB,RDF,BUR,BUL,BDL,BDR,DFL,DFR,DBR,DBL
U2' R F U' R' U R U F' R2' F' R U R U' R' F,R' F R f' R' F R2 U R' U' R' F' R2 U R' S,U' R U R' U' R' F R2 U' R' U' R U R' F' U,M' U R' F2 r F' r' F2 R2 U' r',r U' r U2' R' F R U2' r2' F,F' r F2' R' D R F2' r2' D r,r2' B' r2 D2 R' B' R D2 r' D r,R U2' R' U R U' R' F' U' F R U R' F R' F' R U',D' F' r F2' R' D R F2' r2' D r D,U'D F' R U R' U' R' F R2 U' R' U' R U R' UD',R' B2' R2 U R' U R U' R2' B2' R U2' R U R' U',U R U2 R U' R2' D R' U R U'D' R2 U' R' U',U' F' R U R' U' R' F R2 U' R' U' R U R' U,U R' U' R2 U R' F' R U R' U' R' F R2 U' R' U' R' U R U',R D R' U R D' R2' U' R U R' U R U R' U' R U',D F' r F2' R' D R F2' r2' D r D',U'D' F' R U R' U' R' F R2 U' R' U' R U R' UD,U' F2 R U R' U' R' F R2 U' R' U' R U R' F U,U2' r U R' F2 r F' r' F2 R2 U' R'r' U2',U R' U R U2' R' F R U R' U' R' F' R2 U' R' U R U',r2' U'D r2 U r2' D' r2 U'D r2' D' r2 U r2' D' r2
f U R U R2' U'D' R U R' D R2 U2' f',R U R' F' R U R' U' R' F R2 U' R' U',U L' U' L F L' U' L U L F' L2' U L,U R' U' R U R' F' R U R' U' R' F R2 U2',R' U' R2 U R' D R U'D' R2' D R UD' R,UD R U' R U R' F' R U R' U' R' F R2 U' R2' U'D',R UD' R' F' R U R' U' R' F R2 U' R' U' R D R',r B' U2' R2' F R F' R U2' r' U r B r',U R U' R U R' F' R U R' U' R' F R2 U' R2' U',U2D R' F R2 U' R' U' R U R' F' R U R' UD',U R' U R U' x' U L' U L U2' R U' R' U x,R UD R' F' R U R' U' R' F R2 U' R' U' R D' R',U2' R' F R2 U' R' U' R U R' F' R U R' U,S U' R U R2' F R f' U R U R' U',r' U' F R' F' R2 U' R' U2 r U',U' R' D' R U R' U'D R D' R D R' U R' D' R D R 	,U2D' R' F R2 U' R' U' R U R' F' R U R' UD,U' r2' D' r2 U r2' U' r2 U r2' D' r2 D,UD R2' U' R2 U R2' D' R2 U R2' U' R2 U2,U R2' U' R2 U R2' D' R2 U R2' U' R2 U2D,U'D r2' D' r2 U r2' U' r2 U r2' D' r2
L' b' L U L' U L U2' L' U b L U L' U' L,U' R' U2 R' D' R U' R' D R U R U' R' U' R,U' R U R' F' R U R' U' R' F R2 U' R',R2 U2' R2' F R F' R U' R' F' U F R U' R2',R U' R' U2 L R U' R' U L' U2,L' UD L' U' L D' L2 U L' U' L',U' l U2 r U' r' U' F R' F' R2 U' R'l' U,R' U R2 U R2' U' R2 D R2' U' R2 U R2' D' R,F R' F' R2 U' R' U R B U' B' R',D R U' R' U2 R' D' R U' R' D R U R U' R' U'D',U' lR U2' R' U2 R' F R F' r U' r' F l',F U R F R' F' R2 U' R' U R U' R2' F' U',R' F R U R U' R' F' R U2' R' U2 R U R',R' F R' F' R2 U' R' U R f R' f',U F R U R2' F R F' R U' R' F',x' U' F U' R' F' R U' R U R2' F R U2' x,D' R U' R' U2 R' D' R U' R' D R U R U' R' U'D,U2' F' U' R U' R' F R' F' R2 U' R' U2 R' F R U2',R F U R' U' R F' U' R2 D' R U R' D R U R U2 R'	,R' U' R U R' F R' F' R2 F U R U' R' F' U',R D' R2' F R' F' R2 U' R' U R f R' f' R D R'
F U2D R' D' R2 UD R' D' R U' R2' U2' F',S R U R' F' R U R' U' R' F R2 U' R' U' S',M' U' R' F R F' U R U r' U2 R U R' U,M' U r' F2 R F' R' F2 Rr U' r',L F' U' R' F' R2 U' R' U R' F R U L',U' R' F R U R' F U' F U F2 R,r' U' r' B' r2 D2 R' B' R D2 r' UD r,U F2 r2 U2' R' F R U2' r2' F r U' r' F2 U',U'D' R' F R U R' F U' F U F2 R D,R' F2 r U' r' U' F R' F' R2 U' R' U2' F2 R,F U' R U R' U' R U R' F' R U R' U' R' F R2 U2' R' U F',U'D2 R' F R U R' F U' F U F2 R D2,R' D' R U' R' F R U R' F U' F U F2 D R,M' F' U' F R U R' F R' F' R2 U' r',b' R' U' R U b R' U' R U' R' U2 R U',U'D R' F R U R' F U' F U F2 R D',F U R U' R' F' U' R' U' R U R' F R' F' R2,L D F' U' R' F' R2 U' R' U R' F R UD' L',UD r2' F2 R U' R' F R U R' F U' F U r2 U'D',U r2' F2 R U' R' F R U R' F U' F U r2 U',rL U'D' L U L' D L2' U' L U x'
F r U' r' U r2 U2' R' F R U2' r F' r,u' R' U2 R' D' R U' R' U'D R' U R2 E',l' U R U2' r' R' F R F' r U2',U' f U' R U R2' F R f' U R U R' U' F' U,R' F D F D' F2 R D R' F R D',F' U' R' F' R2 U' R' U R' F R U,L' U' R' F R U R' F U' F U F2 RL,l' F R U' R' U' R U R' F' R U R' U' R' F R F' l,u' R' u R F R' F' R2 U' R' U R',l' U' R' F R F' U R U r' U2 R U R' U L,U' R2 UD' R' F' R U2' r' U r' F' r2 UD R2' U,D2 F' U' R' F' R2 U' R' U R' F R UD2,R u' R' U2 R' D' R U' R' U'D R' U R2 E' R',U' R U R2' F R F' R' u' R u R,F' U' R' F' R U F U' R U' R' U2,D F' U' R' F' R2 U' R' U R' F R UD',F' R F U' R' F' R U' R U R2' F R U R' F,U' R' F R U' R U R2' F R U F U' R' F2 R U,U'D' R' F R U' R U R2' F R U F U' R' F2 R UD,R D' R' U' R' F' R U' R U R2' F R U F R D R',U'D R' F R U' R U R2' F R U F U' R' F2 R UD'
L' D F' U' R' F' R2 U' R' U R' F R UD' L,UD F2 R U' R' F R U R' F U' F D',S U' R U R' F' R U R' U' R' F R2 U' R' S',r D' R' U R' F2 r F' r' F2 R2 U'D r',U'D R U R2' F R U F U' R' F' R D',U r' D r U r' D' r U r' D r U r' D' r U,D R' F' R2 U' R' U R' u' R' u R F D',S R' U R2 U R2' U' R2 D R2' U' R2 U R2' D' R S',f R' F' R2 U' R' U R B U' B' R' S',z' u'U' R U R2' U'D' R U R' D R2 u z,D' R U'D R D' R2' D R U R' F D2 R' D2 R2 F',D' r U' r' U r' F' r2 U2' R' F' R U' r' D,S' R U' R' U2 R' D' R U' R' U'D R' U R S,UD r U' r' U' F R' F' R2 U' R' UD',S U F R U R2' F R F' R U' R' f',U'D R' F R U F U2' R U R' U F' D',U'D' R U' R2' F R F' R U2' r' U r U' R' UD,r' U' r' F r2 D r' D' r U' F' U r U F' r',UD R2' F2 R U' R' F R U R' F U' F U R2 U'D',f' R F R' D R' D' R2 F' R' u' R' u f,F2' L' U2 R' F' R U2 r' U r' F' r2L F2'
z U' R U R' F R' F' R2 U' R' F' U' F U z',R u R' F' R U R' U' R' F R2 U' R' U' R E R',U' R' F R F' R U' R u R u' R' U R' U,U2 R U2' F' U' F U' R2 u R' u' R U2',F' U' F U' R2 u R' u' R2 U2',L' U'D R U R2' F R U F U' R' F' R D' L,LM' U L' U2 R U' R' U2 L R U' r'L',E' R' D R2 U' R2' D' R2 U R' D R' D' R U' R' UE,U2' R B R2' D' R U F R' F' D R U,r' U'D' r F r' U r2 U' r B r' x',U' L U' L' U L2 F' L' F L' U B' U2 B U,U'E' R2' U' R U R2' U'D' R U R' U2',U'E' R U' R2' D R' D' R2 UD R' E2 y,LM' F' U' F R U R' F R' F' R2 U' r'L',LM' U' R' F R F' U R U r' U2 R U R' U L',x' U' R r' F r' F2 R U' R' F2 r2 U' R' U x,U'E' R U'D' R2' D R D' R2 U R' U2 y',L U'D R' F R U R' F U' F U F2 R D' L',r B2 R2' U'D' R D R' U R2 D' R D B2 r',U2 l U R' F2 r F' r' U' r2 U r2' U x,LM' U' R' U' R U R' F' R U R' U' R' F rM' x
U' F' R' F R U R' F U' F U F2 R U' F U,U' R' U2 R' D' R U' R' U'D R' U R2,U' R' U' R D' R' UD R2 D' R' D R' U,R U R2' F R U R U' R' F' R U2' R' U2,U'D R' U' R D' R2 U R' U' R2 U2',U'E' R' F' R U' R U R2' F R U F E,R U' R' UD' R' D R2 D' R' D2 R' U' R UD' R',R2' U' R U R' D R D' R U'D R2' U R2 D' R,U' R' u R F R' F' R2 U' R' U R' E,D R2 U R' F' R U R' U' R' F R2 U' R' U' R' D',r' U2' r U R' B2' R U' R' B2' R2 U' R2' U2' R,MR2 U' R' U R' F R U F' U' R' F' M',R2 U R' F' R U R' U' R' F R2 U' R' U' R',M' U' R U r' R' F R F' U r U r' U',U2 R UD' R2 D R2 U' R' D' R D R' U R U,U' D' R' D R2 D' R' D2 R' U' R D' R' U2,D' R2 U R' F' R U R' U' R' F R2 U' R' U' R' D,D' R' D' R D R2' f2 R D R' f2 R2 D,U'D R' U' R D' R' D R' U R D' R2' U' R2 U2,D R' D' R D R2' f2 R D R' f2 R2 D',R' D' R D R2' f2 R D R' f2 R2
F U' F' U' R' F R U F U2' R U R' U2 F',U F2 R U' R' F R U R' F U' F,U' R' F R F' r U2' R' U R U2' r' U,U R'M' F R' F' R2 U' r' F' U' F R,U' R U R2' F R U F U' R' F' R,U' R' F R U F U2' R U R' U F',U' L U2 r U' r' U' F R' F' R2 U' R'L' U,rR U' R2' F R F' R U' B U2' B' R' U r',U' R' F R U F U' R' F' R U' R U R' U,R' F' R2 U' R' U R' u' R' u R F,F2' l'R' F R' F' R2 U' R' F' U' F R U l F2',rR U' R' U r' F R U F' U' R' F',l' F' U2 R' F R U' R' F' R U' F U' l,U r U' r' U' F R' F' R2 U' R' U,U' L' U2 L F' L' U2 l2 F' l' U M' U,D F U2 R U R2' U'D' R U R' D R2 U F' D',M' U' R' F' U' F R U r' F R' F' R2,U r U2' r' F U' R U' R' U2' F U' F',R' F2 R2 U' R U R2' F R U F U' R' F' R' F2 R,U R2' F2 R U' R' F R U R' F U' F U R2 U',L'R' F' R2 U' R' U R' u' R' u R F L
r' U' F U' R' F' R U' R U R2' F R U2' r,F R U R' U R U R' U2 R' F' r U R U' r',r' F U' R' F' R U' R U R2' F R U r,r U R' U F' U' R' F R U F U2' M,U F' r U' r' F R' F' R F R U2' R' U,r' F2 r U' r' F2 r R U' r' F M',L2 UD L' U' L D' L2 U L' U',L2' b' L U L' U L U2' L' U b L U L' U' L2,r' F' R2 U' R' U R' F R U F' U' M',M F' r U2' R' U R U2' R'r' F r,F2 R2 UD R' D' R U' R2' D R' D' F2,RM U2' F U' R' F' R U' R U R2' F R U' R'M',U' F' R' F R F' r U2' R' U R U2' r' F U,r'R' F' R2 U' R' U R' F R U F' U' r,F R U' R' F' R U' F U' F' U2' R',D r' F2 r U' r' F2 r R U' r' F M' D',r' U2' F U' R' F' R U' R U R2' F R U' r,r'R' F R F' U r' F r U2' R U' R' U F r,M F' R2 U2' R' U2 R' F R F' r U' r' F R'M',r U2' R' F' R U2' r' U r F r2' F' r2 F' r',z U2 R' F' R2 U' R' F' U' F R U R' F U2'
S U R U' R2' F R f' R U' B U2' B' R',Mr' F R F' R U2' r' U r U2' Mr',S' U' R U R' F' R U R' U' R' F R2 U' R' S,M U R' U' Rl U2 r' U' r U2 R'M' x,F D R' D' R2 UD R' D' R U' R2' F',R' F R U R' F U' F U F2 D R U' R' D' R,l U R' U' Rl U2 r' U' r U2 R'l' x,R' U R U R' F R' F' R2 U' R' F' U' F U' R,F' r' F r F U' R U R'r' F R F' M',r' U'D R D R' U R2 D' R D R2 D2 r,F' R U2' R' U2 F' r U' r' F l' U' R U2 x',R' F R D R' F2 R D' R' F R2 D R2 F R2 D' R',R' D' F R U R' F U' F U F2 D R U',S' R' F R' F' R2 U' R' U R f R' F',r UD' R U R' D R2' U' R U R2 U2' r',x' UD R U' R2' U R U2 R D R' U R D2 x,M' U' R' F' U' F R U R' F R' F' R2M,F U R U' R' F' R U' F U' F' U2 R' F U' F',U' F R2' D2 r D' r' D2 R2 F' R' F R F' U,R' U' F' U F R F' U R' U R U2 F R' U R,l' UD R U'D' R U R' D R2' U' R U R U'D' l
F U2' F' U2' r2 U' F' U r2' U' F U F',R U' R' UD R' U' R f' R' U' R f UD',U r' F U R U R' F' U2' F U F2 r,U R' U' R U' F R' F' U' r U R U' r' U,U2' r2 U' F' U r2' U' F U' F',F U' F' U2' r2 U' F' U r2' U',D2 R U' R' UD R' U' f' U' f U R D,R' U r U r' F2 R F' r U r'R' F2 U' R,R F R' F' U2 R' U2' F' r U' r' F2,D R U' R' UD R' U' f' U' f U R D2,F R' U R' D R2 U' R UD' R' D R2 U' R D' F',U R' U' R U2 R' U' R S R f' U' F U2',R U' R' UD R' U' f' U' f U R D',U R' U' F' U2' R' F R U' R' F' R U' F R U',L U r' F U R U R' F' U2' F U F2 x,D F U' F' U2' r2 U' F' U r2' U'D',D' R U' R' UD R' U' f' U' f U R,F' R' F R2 U' R' D f' U R' U2' R f UD',U' S' R U R' U2' f R F' U R' F R2 F',U R' U' R U R2' F R F' R B U B' U',UD' R' U' R U R2' F R F' R B U B' U'D
F U R U R2' U'D' R U R' D R2 U2' F',F R U R2' U'D' R U R' D R2 U' F',U'D' R' F R F' r U2' R' U R U2 r' UD,F U2 R U'D' R2' U R U' R2 D R' U' F',F U' R U R2' U'D' R U R' D R2 F',F U2 R U R2' U'D' R U R' D R2 U F',r UD' R' U R2 D' R D R2 U'D' R U'D2 r',R2' F R D R2' U' R U R2' U'D' R U R2' F' R2,R U' R U R2' E F R F' R' U' R u,r' UD R' D' R U' R2 D R' D' R'M',S' U R' U R U' x' U L' U L U2 R U' R' UE,R F' R' D' F' D R F R' D R' D' R,D' R' F' R2 U' R' U R' u' R' u R F D,U' R U R2' F R f' U R U R' U' S,r UD R' U' R D' R2 U R' U' RM,D F U' F' U2' r' F R U' R' F' r U'D',F R' U R' U' R2 UD R' U' R D' R' F',F R' U' R' D R2 U' R U R2' U'D' R U2 R F',U' R U R' U2' f R f' U R' F R2 F',R U' F' U F R F' U R' U R U2 F R' U R',Lr UD R' U' R D' R2 U R' U' M2 x
r' F r U' F U' R U' R' U2 r U' r' F',R U' R' U S' U F' U' F U R U' R' U' S,r U' R U R' L' U2 R U R' U2 x',U r U' R' U' R U r' F R' F' R U' R' F R F',r U' R U2' r' F r U2' r'R' F,x r U2' R2' F R F' R U2' r' U x',r' D' r D F' R2 U' R' U R' F D',r' U r2 U' r2' D r2 D' r2' D r2 U' r2' D' r,u' R U' R' UD R2 U' R' U R2 y,F R U R' F U' F U F2 R U' R',F2' l'R' U' R2 U R2' D' R2 U R2' U' R2 UD x',R D' R' F R U R' F U' F U F2 R U'D R',r U' R' U r' F2 R F' R' F2 R,U' R U R2' E F R F' R' U' R u R,r U2' R' F R U R' U' R' F' R2 U' R' U2 M,r U r2' D r2 U' r2' U r2 U' r2' D r2 D' r',D' r U' R' U r' F2 R F' R' F2 R D,Lr U r2' D r2 U' r2' U r2 U' r2' D r2 D' r2' x,R' F2 R U r U r' U2 R U R2' F R F' R' F2 R,r D' r2' D' r2 U r2' U' r2 U r2' D' r2 U'D2 r',L' F R U R' F U' F U F2 R U' M' x'
R' U R2 f' U' f R' U F' U2' F R U',R' F' U2 R' F R U' R' F' R U' F U' R,R U' R' F' U F R U R2' F R F',U R B U' B' R' F R' F' R2 U' R',U2' R U R' S R' F R f' U R U R',R' U' R' F' R2 U' R' U2 R U2' R' F R U,U'D' F R' F' U' F R F' U2 R' U' R D,R2 U' R2' F R F' R U' B U2' B' R' U R',F' r' F r F U' R U R2' F R F',D F' U2 R' F R U' R' F' R U' F U'D',R U2' R2' F R' F' R2 U' R' F' U' F R U R U2' R',D' F' r' F r F U' R U R2' F R F' D,F' U2 R' F R U' R' F' R U' F U',U r' D' r U r' D r U2 r U' r' U r U r',U2 l U' R U R2' F R U F U' l' U,D R' U' R' F' R2 U' R' U2 R U2' R' F R U D',U' F R' F' U' F R F' U2 R' U' R,R U' r2' F r U' r U' F R U R' F' U2' R',U' r' D R' D' R2 U' R' F' R2 U R2' F r U2',R' U' R U r' F R' F' R U' R' F R F' U r U',L'r' F' R2 U' R' U R' u' R' u R F M'L
