UFR,UFL,UBR,UBL,DFR,DFL,DBL/DBR
F R U' R' U' R U R' F' R U R' U' R' F R F',U2 R U R' F' R U R' U' R' F R2 U' R' U,U R U R' F' R U R' U' R' F R2 U' R' U2,,,,
R U R' F' R U R' U' R' F R2 U' R' U',U F R U' R' U' R U R' F' R U R' U' R' F R F' U',,,,,
U' R U R' F' R U R' U' R' F R2 U' R',,,,,,
U R' U' R U R' F' R U R' U' R' F R2 U2,U R' F R U' R' U' R U R' F' R U R' U' R' F R F' R U',U2 R U' R' U2 L R U' R' U L',,,,
R D' U R' F' R U R' U' R' F R2 U' R' U' R D R',,,,,,
U' r' D r U' r' D' r U' r' D r U' r' D' r U',D R U' R U R' F' R U R' U' R' F R2 U' R2' D',L' U L U L' U' L F L' U' L U L F' L',U'D R U' R U R' F' R U R' U' R' F R2 U' R2' UD',R' U'D R D' R D R' U R' D' R D' R U' R' D R U,,
U' D' R U R' D R2 U' R U R2',U' R UD' R' F' R U R' U' R' F R2 U' R' U' R D R' U,U'D2 R' F R2 U' R' U' R U R' F' R U R' D2,D2 R' F R2 U' R' U' R U R' F' R U R' U'D2,R D' R' F' R U R' U' R' F R2 U' R' U' R UD R',U'D2 R2 U R2' D' R' U' R U R' D R D' R D',U R2' D' R U R U R' U' R U' R D R' U R' U' R
r B' U2' R2' F R F' R U2' r' U r B r',,,,,,
U R U' R U R' F' R U R' U' R' F R2 U' R2 U',R U' R U R' F' R U R' U' R' F R2 U' R2',U2 R U' R U R' F' R U R' U' R' F R2 U' R2 U2,D R2 U' R' U' R U R' F' R U R' U' R' F D',,,
D U2 R' F R2 U' R' U' R U R' F' R U R' U D',UD R U' R' U' R U R' F' R U R' U' R' F R U'D',U'D R2 U' R' U' R U R' F' R U R' U' R' F UD',D R' F R2 U' R' U' R U R' F' R U R' U'D',U'D R2 U R2' D' R' U' R U R' D R D' R,,
U R' U R U' x' U L' U L U2 R U' R' U,r U2 R2 F R F' R U2 r' U,,,,,
U' R2' F R F' R U2 r' U r U',D' R U' R U R' F' R U R' U' R' F R2 U' R2 D,U' R2 U' R' U' R U R' F' R U R' U' R' F U,R2 U' R' U' R U R' F' R U R' U' R' F,F' R' U R2 U' R' U R' U' F D R D' R',R D R' D' R F R' D' R D R F' R2' D,
U2' R' F R2 U' R' U' R U R' F' R U R' U,U R U' R' U' R U R' F' R U R' U' R' F R U',U' R' F R2 U' R' U' R U R' F' R U R',R' F R2 U' R' U' R U R' F' R U R' U',,,
S U' R U R2' F R f' U R U R' U',R' U' R U R' F' R U R' U' R' F R2 U',,,,,
U' R' U' R U R' F' R U R' U' R' F R2,U R' U R U2' L' R' U R U' L U,R' F R U' R' U' R U R' F' R U R' U' R' F R F' R,,,,
D' U' R2' F R F' R U2 r' U r U' D,UD' R2 U' R' U' R U R' F' R U R' U' R' F U'D,U'D' R2 U' R' U' R U R' F' R U R' U' R' F UD,D' R2 U' R' U' R U R' F' R U R' U' R' F D,UD R U' R' D R U R' U' R' D R D R' D2 R D',D R' U'D R D' R D R' U R' D' R D' R U' R' D R UD',UD' R2 U' R2 D R U R' U' R D' R' D R' 
f R D R' U R U'D' R2' U R U' R f',UD' R U' R' U' R U R' F' R U R' U' R' F R U'D,U'D' R' F R2 U' R' U' R U R' F' R U R' D,D' R' F R2 U' R' U' R U R' F' R U R' U'D,R' D' R F R' D' R D R F' R2' D R D,R2 D' R2 D' R2 D R2 U' R2 D R2 D' R2 U R2,
U' r2' D' r2 U r2' U' r2 U r2' D' r2 D,D2 R2 U' R2 U R2 D' R2 U R2 U' R2 U'D',U'D R2 U R2' U' R2 D R2' U' R2 U R2' U2D2,F' R U' R' U' R U R' F' R U R' U' R' F R F,R D R2' D' R U' R' UD R2 U' R' UD' R',,
D U R2' U' R2 U R2' D' R2 U R2' U' R2 U2,D R2 U' R2 U R2 D' R2 U R2 U' R2 U',U' R2 U R2' U' R2 D R2' U' R2 U R2' U2D',R2 U R2' U' R2 D R2' U' R2 U R2' UD',,,
U R2' U' R2 U R2' D' R2 U R2' U' R2 U2 D,R2 U' R2 U R2 D' R2 U R2 U' R2 U'D,U'D' R2 U R2' U' R2 D R2' U' R2 U R2' U2,D' R2 U R2' U' R2 D R2' U' R2 U R2' U,D' R' U'D R D' R D R' U R' D' R D' R U' R' D R UD,D R D2 R' D R D R' U' R' U R D R' U' R UD',
D U' r2' D' r2 U r2' U' r2 U r2' D' r2,D' R2 U' R U R' F' R U R' U' R' F R2 U' R D,U'D2 R2 U R2' U' R2 D R2' U' R2 U R2' U2D,D2 R2 U R2' U' R2 D R2' U' R2 U R2' UD,R D2 R' D R D R' U' R' U R D R' U' R U,D R D R2' D' R U' R' UD R2 U' R' U D' R' D',R' D' R2 D R' U R U'D' R2' U R U'D R
